Date,Open,High,Low,Close,Adj Close,Volume
2005-12-19,145.399994,155.766663,144.000000,146.933334,123.636780,1157127
2005-12-26,143.333328,150.000000,138.333328,147.233337,123.889206,633703
2006-01-02,152.266663,152.266663,138.666672,140.066666,117.858841,462061
2006-01-09,140.666672,141.333328,132.733337,134.666672,113.315018,462402
2006-01-16,136.066666,139.633331,124.000000,139.633331,117.494232,389697
2006-01-23,140.000000,150.166672,136.000000,136.933334,115.222305,1020066
2006-01-30,137.333328,142.000000,130.000000,131.566666,110.706543,1237109
2006-02-06,126.000000,132.600006,125.666664,127.066666,106.920006,499848
2006-02-13,128.000000,140.000000,126.666664,128.666672,108.266327,704332
2006-02-20,128.666672,130.966660,124.400002,125.233330,105.377357,415593
2006-02-27,125.233330,140.600006,125.233330,133.866669,112.641853,744189
2006-03-06,135.300003,140.000000,132.666672,137.533340,115.727188,993593
2006-03-13,136.000000,148.966660,134.699997,135.833328,114.296715,1071259
2006-03-20,136.600006,138.399994,127.699997,130.766663,110.033379,395266
2006-03-27,130.666672,139.333328,127.800003,130.233337,109.584618,327026
2006-04-03,132.000000,142.666672,130.800003,136.100006,114.521103,588146
2006-04-10,137.333328,140.000000,126.666664,126.966667,106.835869,283111
2006-04-17,129.333328,131.000000,112.400002,113.500000,95.504364,805900
2006-04-24,116.000000,127.900002,110.033333,126.333336,106.302963,897004
2006-05-01,129.333328,130.000000,122.666664,125.566666,105.657852,457952
2006-05-08,125.133331,166.600006,125.133331,152.300003,128.152573,4421858
2006-05-15,152.466660,166.600006,138.733337,142.466660,119.878326,1552609
2006-05-22,144.766663,158.566666,120.000000,145.666672,122.570953,1231249
2006-05-29,146.666672,152.266663,118.133331,146.899994,123.608749,987345
2006-06-05,147.333328,148.666672,122.000000,128.600006,108.210236,980302
2006-06-12,129.199997,150.666672,123.333336,143.899994,121.084404,1414062
2006-06-19,142.000000,148.833328,137.466660,144.233337,121.364876,299964
2006-06-26,143.333328,146.666672,123.266663,126.099998,106.106613,487014
2006-07-03,127.333336,138.000000,124.666664,133.366669,112.221138,1370051
2006-07-10,133.366669,145.000000,127.333336,129.733337,109.163887,384832
2006-07-17,126.666664,131.300003,116.000000,118.900002,100.048180,221728
2006-07-24,117.333336,123.333336,110.666664,115.266663,97.491913,598373
2006-07-31,118.333336,118.333336,101.866669,104.033333,87.990822,539699
2006-08-07,103.400002,118.000000,103.400002,115.833336,97.971207,343192
2006-08-14,115.866669,125.666664,115.400002,123.800003,104.709381,223705
2006-08-21,126.000000,129.866669,113.000000,113.733330,96.195030,285890
2006-08-28,112.066666,118.900002,112.066666,117.033333,98.986160,132831
2006-09-04,118.300003,119.199997,111.033333,111.733330,94.503433,261586
2006-09-11,112.666664,114.266663,107.000000,107.866669,91.233040,263604
2006-09-18,110.566666,110.599998,100.133331,100.800003,85.256088,400112
2006-09-25,102.000000,114.000000,99.333336,111.699997,94.475235,930964
2006-10-02,111.699997,116.933334,108.333336,112.866669,95.462013,753098
2006-10-09,113.000000,114.300003,107.066666,108.199997,91.514946,347656
2006-10-16,112.566666,112.566666,106.133331,106.800003,90.330856,131164
2006-10-23,107.400002,109.266663,105.333336,107.233330,90.697372,262643
2006-10-30,110.000000,110.000000,98.333336,100.199997,84.748604,503190
2006-11-06,100.000000,109.266663,100.000000,105.699997,89.400490,950465
2006-11-13,107.199997,113.266663,102.733330,104.966667,88.780212,1151155
2006-11-20,101.333336,107.666664,100.166664,105.166664,88.949387,514761
2006-11-27,103.433334,116.000000,103.400002,110.233330,93.234734,1135362
2006-12-04,111.933334,114.666664,105.333336,107.599998,91.007492,447595
2006-12-11,106.000000,107.333336,100.000000,104.266663,88.188171,398653
2006-12-18,105.000000,105.366669,101.400002,103.666664,87.680702,125043
2006-12-25,103.666664,113.933334,103.333336,104.466667,88.357338,593772
2007-01-01,104.466667,109.333336,102.666664,106.366669,89.964363,471249
2007-01-08,106.266663,116.333336,105.000000,112.166664,94.869957,960083
2007-01-15,114.633331,121.666664,110.066666,120.199997,101.664513,666482
2007-01-22,123.333336,123.933334,111.433334,112.199997,94.898140,688451
2007-01-29,112.666664,112.666664,102.433334,103.000000,87.116837,534982
2007-02-05,104.599998,110.733330,102.066666,104.099998,88.047203,514160
2007-02-12,102.699997,105.566666,96.733330,102.699997,86.863106,171130
2007-02-19,103.800003,104.566666,99.833336,101.033333,85.453453,174794
2007-02-26,101.266663,104.666664,86.733330,100.066666,84.635841,226912
2007-03-05,96.666664,97.166664,87.666664,93.699997,79.250938,214359
2007-03-12,95.333336,97.000000,90.766663,91.800003,77.643944,216199
2007-03-19,91.500000,93.733330,85.333336,92.099998,77.897682,579423
2007-03-26,91.933334,91.933334,87.000000,88.199997,74.599075,144396
2007-04-02,88.000000,93.333336,85.466667,92.333336,78.095032,208108
2007-04-09,91.333336,108.400002,90.800003,105.066666,88.864815,1025369
2007-04-16,106.599998,107.933334,93.333336,102.133331,86.383804,322042
2007-04-23,102.733330,106.666664,98.000000,100.300003,84.833183,205115
2007-04-30,100.000000,104.666664,92.266663,93.133331,78.771652,312233
2007-05-07,94.666664,95.333336,87.333336,90.133331,76.234306,383486
2007-05-14,92.000000,96.466667,89.733330,94.099998,79.589264,207976
2007-05-21,95.933334,95.933334,88.233330,89.433334,75.642227,188708
2007-05-28,90.000000,96.633331,88.666664,95.733330,80.970703,564775
2007-06-04,100.000000,100.266663,81.333336,92.099998,77.897682,758387
2007-06-11,92.833336,103.333336,91.400002,97.166664,82.183037,894245
2007-06-18,98.666664,111.733330,96.066666,107.466667,90.894714,1544411
2007-06-25,107.333336,114.666664,101.400002,103.666664,87.680702,1558395
2007-07-02,106.466667,106.599998,94.866669,100.033333,84.607651,1378082
2007-07-09,101.000000,123.333336,101.000000,116.933334,98.901573,2293833
2007-07-16,117.333336,125.000000,114.099998,118.133331,99.916519,1084160
2007-07-23,116.666664,121.833336,106.699997,107.966667,91.317627,587804
2007-07-30,109.933334,123.333336,102.133331,107.333336,91.309441,225557
2007-08-06,102.000000,115.666664,102.000000,110.933334,94.372009,375761
2007-08-13,110.666664,112.666664,100.000000,103.666664,88.190186,128883
